CCAA,año,titularidad,n_hospitales,total_hospitales,pct
ANDALUCÍA,2017,Otros,1,132,0.76
ANDALUCÍA,2017,Privado,61,132,46.21
ANDALUCÍA,2017,Público,70,132,53.03
ARAGÓN,2017,Otros,1,29,3.45
ARAGÓN,2017,Privado,8,29,27.59
ARAGÓN,2017,Público,20,29,68.97
C. FORAL DE NAVARRA,2017,Privado,7,11,63.64
C. FORAL DE NAVARRA,2017,Público,4,11,36.36
CANARIAS,2017,Privado,22,48,45.83
CANARIAS,2017,Público,26,48,54.17
CANTABRIA,2017,Otros,1,7,14.29
CANTABRIA,2017,Privado,3,7,42.86
CANTABRIA,2017,Público,3,7,42.86
CASTILLA Y LEÓN,2017,Otros,1,53,1.89
CASTILLA Y LEÓN,2017,Privado,22,53,41.51
CASTILLA Y LEÓN,2017,Público,30,53,56.6
CASTILLA-LA MANCHA,2017,Otros,1,34,2.94
CASTILLA-LA MANCHA,2017,Privado,8,34,23.53
CASTILLA-LA MANCHA,2017,Público,25,34,73.53
CATALUÑA,2017,Otros,5,213,2.35
CATALUÑA,2017,Privado,142,213,66.67
CATALUÑA,2017,Público,66,213,30.99
CEUTA,2017,Público,1,1,100.0
COMUNIDAD VALENCIANA,2017,Otros,2,60,3.33
COMUNIDAD VALENCIANA,2017,Privado,22,60,36.67
COMUNIDAD VALENCIANA,2017,Público,36,60,60.0
EXTREMADURA,2017,Privado,9,31,29.03
EXTREMADURA,2017,Público,22,31,70.97
GALICIA,2017,Otros,1,58,1.72
GALICIA,2017,Privado,23,58,39.66
GALICIA,2017,Público,34,58,58.62
ILLES BALEARS,2017,Otros,1,24,4.17
ILLES BALEARS,2017,Privado,12,24,50.0
ILLES BALEARS,2017,Público,11,24,45.83
LA RIOJA,2017,Privado,2,9,22.22
LA RIOJA,2017,Público,7,9,77.78
MADRID,2017,Otros,2,87,2.3
MADRID,2017,Privado,46,87,52.87
MADRID,2017,Público,39,87,44.83
MELILLA,2017,Público,1,1,100.0
PAÍS VASCO,2017,Otros,2,41,4.88
PAÍS VASCO,2017,Privado,22,41,53.66
PAÍS VASCO,2017,Público,17,41,41.46
PPDO. DE ASTURIAS,2017,Privado,11,20,55.0
PPDO. DE ASTURIAS,2017,Público,9,20,45.0
REGIÓN DE MURCIA,2017,Otros,1,29,3.45
REGIÓN DE MURCIA,2017,Privado,15,29,51.72
REGIÓN DE MURCIA,2017,Público,13,29,44.83
ANDALUCÍA,2020,Otros,1,127,0.7874015748031495
ANDALUCÍA,2020,Privado,59,127,46.45669291338583
ANDALUCÍA,2020,Público,67,127,52.75590551181102
ARAGÓN,2020,Otros,4,29,13.79310344827586
ARAGÓN,2020,Privado,6,29,20.689655172413797
ARAGÓN,2020,Público,19,29,65.51724137931035
C. FORAL DE NAVARRA,2020,Privado,6,10,60.0
C. FORAL DE NAVARRA,2020,Público,4,10,40.0
CANARIAS,2020,Otros,2,39,5.128205128205128
CANARIAS,2020,Privado,22,39,56.41025641025641
CANARIAS,2020,Público,15,39,38.46153846153847
CANTABRIA,2020,Privado,3,7,42.85714285714285
CANTABRIA,2020,Público,4,7,57.14285714285714
CASTILLA Y LEÓN,2020,Otros,8,46,17.391304347826086
CASTILLA Y LEÓN,2020,Privado,14,46,30.434782608695656
CASTILLA Y LEÓN,2020,Público,24,46,52.17391304347826
