CCAA,año,PIB_miles_euros
Andalucía,2023,199951794.0
Andalucía,2020,150452909.0
Andalucía,2017,156789484.0
Aragón,2023,46673641.0
Aragón,2020,35955571.0
Aragón,2017,35983544.0
"Asturias, Principado de",2023,28325520.0
"Asturias, Principado de",2020,21376392.0
"Asturias, Principado de",2017,22538267.0
"Balears, Illes",2023,42083948.0
"Balears, Illes",2020,26669106.0
"Balears, Illes",2017,31746251.0
Canarias,2023,54193658.0
Canarias,2020,37587399.0
Canarias,2017,43035839.0
Cantabria,2023,16776590.0
Cantabria,2020,12991241.0
Cantabria,2017,13318023.0
Castilla y León,2023,70876328.0
Castilla y León,2020,54794589.0
Castilla y León,2017,55879293.0
Castilla - La Mancha,2023,53929118.0
Castilla - La Mancha,2020,40254360.0
Castilla - La Mancha,2017,40768959.0
Cataluña,2023,281845146.0
Cataluña,2020,214857435.0
Cataluña,2017,223139777.0
Comunitat Valenciana,2023,139419926.0
Comunitat Valenciana,2020,106067171.0
Comunitat Valenciana,2017,108666712.0
Extremadura,2023,24870107.0
Extremadura,2020,19497343.0
Extremadura,2017,20169546.0
Galicia,2023,77356297.0
Galicia,2020,59007178.0
Galicia,2017,60630852.0
"Madrid, Comunidad de",2023,293069284.0
"Madrid, Comunidad de",2020,221061932.0
"Madrid, Comunidad de",2017,224373156.0
"Murcia, Región de",2023,40385838.0
"Murcia, Región de",2020,30440306.0
"Murcia, Región de",2017,31192490.0
"Navarra, Comunidad Foral de",2023,25041231.0
"Navarra, Comunidad Foral de",2020,19160726.0
"Navarra, Comunidad Foral de",2017,19698794.0
País Vasco,2023,87857474.0
País Vasco,2020,66672598.0
País Vasco,2017,69585295.0
"Rioja, La",2023,10618056.0
"Rioja, La",2020,8186915.0
"Rioja, La",2017,8351707.0
Ceuta,2023,1888536.0
Ceuta,2020,1535718.0
Ceuta,2017,1553567.0
Melilla,2023,1750186.0
Melilla,2020,1452031.0
Melilla,2017,1466610.0
TOTAL NACIONAL,2023,1498324000.0
TOTAL NACIONAL,2020,1129214000.0
TOTAL NACIONAL,2017,1170024000.0
